id,genre
1,Adventure
2,Horror
3,War
4,History
5,Biography
6,Comedy
7,Sport
8,Musical
9,Fantasy
10,Sci-Fi
11,Film-Noir
12,Drama
13,Action
14,Western
15,Music
16,Animation
17,Thriller
18,Family
19,Crime
20,Romance
21,Mystery
