movie_id,genre_id
1,12
2,19
2,12
3,13
3,19
3,12
4,19
4,12
5,19
5,12
6,13
6,1
6,12
7,19
7,12
8,5
8,12
8,4
9,13
9,1
9,10
10,12
11,13
11,1
11,12
12,12
12,20
13,14
14,13
14,1
14,12
15,13
15,10
16,5
16,19
16,12
17,13
17,1
17,9
18,12
19,5
19,12
19,4
20,6
20,12
20,17
21,12
22,1
22,12
22,10
23,19
23,12
24,16
24,1
24,18
25,12
25,3
26,19
26,12
26,9
27,6
27,12
27,20
28,19
28,12
28,21
29,19
29,12
29,17
30,13
30,1
30,9
31,13
31,12
31,21
32,13
32,1
32,12
33,12
33,18
33,9
34,19
34,12
34,17
35,12
35,15
36,5
36,6
36,12
37,12
37,21
37,10
38,19
38,12
38,17
39,5
39,12
39,15
40,13
40,1
40,12
41,12
42,19
42,21
42,17
43,13
43,19
43,12
44,16
44,1
44,12
45,13
45,10
46,12
46,20
47,16
47,12
47,3
48,1
48,6
48,10
49,14
50,2
50,21
50,17
51,12
51,20
51,3
52,6
52,12
52,18
53,6
53,12
53,20
54,12
55,5
55,12
55,4
56,13
56,19
56,12
57,16
57,12
57,9
58,13
58,5
58,12
59,16
59,13
59,1
60,13
60,1
60,12
61,13
61,1
61,10
62,16
62,1
62,18
63,12
63,14
64,13
64,1
65,6
65,12
66,12
66,18
67,16
67,1
67,18
68,12
68,21
68,17
69,13
69,12
69,21
70,21
70,17
71,16
71,13
71,1
72,19
72,12
73,13
73,1
74,12
74,2
75,12
75,21
75,3
76,2
76,10
77,12
77,8
78,19
78,12
78,21
79,6
80,19
80,12
80,21
81,12
81,3
82,21
82,17
83,12
83,11
84,6
84,12
84,3
85,12
85,17
85,3
86,12
86,9
86,2
87,19
87,12
87,15
88,19
88,12
88,17
89,12
90,12
91,12
91,21
91,3
92,12
93,12
93,18
94,1
94,12
94,3
95,12
95,20
95,10
96,6
96,20
97,6
97,19
98,12
99,12
100,12
100,20
101,12
101,18
101,7
102,16
102,1
102,6
103,5
103,12
103,4
104,19
104,12
104,17
105,12
105,3
106,12
106,17
106,3
107,13
107,1
107,10
108,5
108,12
108,4
109,19
109,12
110,13
110,1
110,9
111,1
111,12
111,17
112,19
112,12
113,6
113,19
113,12
114,19
114,12
114,10
115,1
115,10
116,14
117,1
117,5
117,12
118,6
118,12
118,20
119,1
119,21
119,17
120,21
120,20
120,17
121,6
121,8
121,20
122,12
123,12
124,19
124,12
124,11
125,12
125,21
126,19
126,21
126,17
127,12
127,10
128,6
128,12
128,18
129,6
129,12
130,13
130,12
130,3
131,13
131,12
132,5
132,6
132,12
133,6
133,19
133,12
134,19
134,12
134,21
135,13
135,12
136,16
136,1
136,6
88,21
138,1
