movie_id,actor_id
1,1
1,28
1,1
1,1
2,2
2,4
2,671
2,415
3,3
3,3
3,3
3,820
4,4
4,16
4,969
4,415
5,5
5,5
5,5
5,856
6,6
6,132
6,610
6,11
7,7
7,242
7,585
7,172
8,8
8,210
8,412
8,8
9,9
9,908
9,9
9,497
10,10
10,41
10,10
10,10
11,6
11,610
11,11
11,11
12,12
12,12
12,12
12,12
13,13
13,13
13,116
13,13
14,6
14,610
14,132
14,11
15,15
15,15
15,670
15,70
16,16
16,16
16,971
16,16
17,17
17,73
17,17
17,17
18,18
18,18
18,18
18,18
19,19
19,19
19,19
19,19
20,20
20,20
20,20
20,20
21,21
21,21
21,209
21,21
22,22
22,22
22,330
22,742
23,23
23,23
23,23
23,23
24,24
24,24
24,198
24,24
25,12
25,218
25,25
25,25
26,12
26,26
26,26
26,26
27,27
27,27
27,27
27,27
28,28
28,10
28,42
28,28
29,29
29,277
29,29
29,29
30,17
30,73
30,17
30,870
31,31
31,31
31,31
31,31
32,32
32,122
32,32
32,32
33,33
33,33
33,33
33,556
34,34
34,16
34,34
34,34
35,35
35,35
35,35
35,35
36,36
36,36
36,36
36,36
37,3
37,203
37,930
37,820
38,9
38,218
38,18
38,518
39,39
39,39
39,39
39,39
40,40
40,34
40,40
40,40
41,41
41,41
41,41
41,41
42,42
42,42
42,665
42,42
43,43
43,899
43,356
43,404
44,44
44,674
44,964
44,44
45,45
45,45
45,41
45,45
46,46
46,46
46,46
46,46
47,47
47,47
47,47
47,47
48,48
48,48
48,48
48,965
49,5
49,49
49,274
49,384
50,50
50,50
50,50
50,50
51,51
51,176
51,51
51,877
52,52
52,52
52,52
52,52
53,52
53,53
53,53
53,53
54,54
54,54
54,54
54,54
55,55
55,93
55,55
55,55
56,56
56,21
56,56
56,56
57,57
57,57
57,57
57,198
58,58
58,58
58,58
58,58
59,59
59,59
59,59
59,59
60,60
60,358
60,884
60,219
61,60
61,358
61,474
61,219
62,62
62,62
62,639
62,398
63,63
63,63
63,9
63,780
64,3
64,145
64,22
64,899
65,58
65,21
65,65
65,65
66,66
66,66
66,58
66,66
67,67
67,67
67,67
67,67
68,68
68,68
68,773
68,68
69,69
69,69
69,69
69,69
70,70
70,70
70,70
70,70
71,71
71,71
71,71
71,515
72,16
72,72
72,72
72,72
73,73
73,73
73,73
73,73
74,18
74,74
74,74
74,74
75,75
75,2
75,969
75,75
76,76
76,76
76,277
76,76
77,77
77,155
77,77
77,77
78,32
78,78
78,31
78,78
79,79
79,543
79,442
79,79
80,80
80,80
80,80
80,717
81,81
81,81
81,81
81,875
82,33
82,82
82,82
82,82
83,83
83,83
83,83
83,83
84,52
84,52
84,84
84,84
85,85
85,85
85,85
85,347
86,86
86,86
86,86
86,86
87,87
87,87
87,87
87,87
88,88
88,88
88,88
88,88
89,89
89,89
89,89
89,89
90,90
90,90
90,90
90,573
91,91
91,91
91,91
91,91
92,92
92,92
92,92
92,92
93,93
93,93
93,93
93,93
94,10
94,770
94,94
94,94
95,95
95,95
95,95
95,95
96,96
96,96
96,96
96,96
97,97
97,10
97,939
97,97
98,98
98,625
98,98
98,98
99,42
99,99
99,99
99,99
100,100
100,218
100,211
100,657
101,101
101,101
101,101
101,101
102,12
102,102
102,102
102,102
103,103
103,103
103,986
103,103
104,104
104,250
104,104
104,104
105,105
105,105
105,105
105,105
106,106
106,106
106,106
106,106
107,76
107,107
107,107
107,35
108,108
108,108
108,108
108,108
109,4
109,109
109,109
109,109
110,17
110,73
110,17
110,17
111,111
111,111
111,111
111,111
112,16
112,29
112,112
112,243
113,113
113,113
113,416
113,113
114,114
114,114
114,114
114,114
115,115
115,115
115,115
115,115
116,13
116,116
116,432
116,116
117,117
117,870
117,177
117,301
118,118
118,118
118,124
118,118
119,119
119,119
119,119
119,119
120,33
120,120
120,120
120,120
121,121
121,121
121,121
121,121
122,122
122,122
122,122
122,122
123,123
123,123
123,123
123,123
124,124
124,124
124,711
124,124
125,125
125,125
125,125
125,125
126,126
126,126
126,126
126,126
127,127
127,127
127,127
127,127
128,52
128,128
128,128
128,128
129,129
129,129
129,129
129,129
130,130
130,209
130,130
130,592
131,131
131,131
131,131
131,131
132,132
132,132
132,132
132,132
133,133
133,133
133,487
133,133
134,134
134,134
134,134
134,86
135,135
135,135
135,135
135,135
136,136
136,804
136,35
136,136
88,137
88,137
88,87
88,137
138,138
138,138
138,138
138,138
139,139
139,139
139,139
139,139
140,140
140,140
140,140
140,140
141,141
141,141
141,141
141,141
142,142
142,142
142,142
142,142
143,134
143,143
143,143
143,143
144,144
144,144
144,144
144,144
145,145
145,145
145,145
145,145
146,9
146,146
146,219
146,412
147,147
147,147
147,147
147,147
148,9
148,148
148,148
148,22
149,149
149,149
149,149
149,149
150,150
150,150
150,150
150,150
151,151
151,151
151,151
151,947
152,12
152,102
152,152
152,852
153,153
153,356
153,153
153,153
154,58
154,154
154,154
154,65
155,155
155,155
155,155
155,155
156,3
156,820
156,497
156,8
157,149
157,157
157,157
157,157
158,158
158,158
158,158
158,158
159,159
159,159
159,159
159,159
160,40
160,160
160,98
160,430
161,161
161,161
161,209
161,87
162,162
162,162
162,162
162,97
163,42
163,40
163,70
163,163
164,164
164,164
164,164
164,164
165,4
165,16
165,165
165,852
166,16
166,166
166,971
166,72
167,58
167,326
167,167
167,167
168,13
168,677
168,28
168,948
169,73
169,693
169,169
169,169
170,170
170,170
170,170
170,170
171,171
171,171
171,171
171,171
172,172
172,172
172,172
172,172
173,31
173,173
173,173
173,173
174,16
174,174
174,971
174,174
175,175
175,175
175,291
175,291
176,176
176,176
176,176
176,176
177,177
177,177
177,177
177,177
178,178
178,178
178,155
178,178
179,179
179,278
179,278
179,179
180,180
180,180
180,180
180,49
181,181
181,181
181,181
181,181
182,32
182,182
182,31
182,182
183,183
183,441
183,183
183,80
184,184
184,184
184,118
184,184
185,185
185,290
185,185
185,186
186,186
186,186
186,186
186,186
187,187
187,187
187,187
187,187
188,188
188,82
188,188
188,188
189,189
189,189
189,189
189,189
190,32
190,190
190,190
190,122
191,191
191,191
191,191
191,191
192,51
192,192
192,192
192,192
193,193
193,193
193,193
193,193
194,52
194,194
194,194
194,52
195,195
195,195
195,195
195,195
196,196
196,196
196,196
196,405
197,197
197,155
197,197
197,197
198,198
198,198
198,198
198,198
199,199
199,199
199,900
199,199
200,200
200,200
200,200
200,200
201,201
201,201
201,201
201,201
202,202
202,87
202,129
202,202
203,203
203,480
203,203
203,203
204,204
204,334
204,204
204,204
205,205
205,205
205,205
205,205
206,206
206,63
206,206
206,206
207,207
207,207
207,207
207,207
208,58
208,208
208,234
208,208
209,209
209,161
209,209
209,209
210,210
210,108
210,366
210,39
211,211
211,211
211,211
211,211
212,212
212,212
212,212
212,212
213,213
213,624
213,213
213,213
214,214
214,903
214,214
214,214
215,215
215,215
215,215
215,215
216,216
216,216
216,750
216,10
217,217
217,474
217,217
217,158
218,218
218,3
218,889
218,218
219,219
219,734
219,594
219,219
220,220
220,220
220,220
220,949
221,221
221,221
221,221
221,141
222,222
222,140
222,351
222,222
223,203
223,383
223,348
223,223
224,145
224,579
224,224
224,224
225,225
225,225
225,225
225,225
226,13
226,226
226,226
226,226
227,227
227,227
227,948
227,227
228,228
228,228
228,413
228,228
229,229
229,229
229,229
229,229
230,230
230,934
230,230
230,230
231,231
231,600
231,929
231,231
232,232
232,232
232,232
232,743
233,233
233,233
233,373
233,890
234,234
234,234
234,221
234,208
235,235
235,13
235,28
235,600
236,236
236,236
236,34
236,236
237,237
237,606
237,237
237,237
238,238
238,238
238,238
238,238
239,234
239,234
239,239
239,239
240,20
240,240
240,240
240,240
241,58
241,241
241,241
241,375
242,242
242,242
242,242
242,104
243,243
243,243
243,243
243,243
244,9
244,12
244,279
244,75
245,245
245,639
245,245
245,245
246,246
246,243
246,976
246,253
247,247
247,247
247,759
247,247
248,58
248,248
248,239
248,248
249,172
249,249
249,230
249,804
250,250
250,250
250,250
250,250
251,95
251,160
251,812
251,251
252,252
252,252
252,252
252,252
253,253
253,742
253,253
253,514
254,254
254,254
254,254
254,254
255,255
255,255
255,255
255,255
256,253
256,256
256,133
256,256
257,257
257,257
257,257
257,257
258,258
258,258
258,258
258,258
259,149
259,259
259,259
259,259
260,238
260,238
260,260
260,260
261,261
261,424
261,261
261,261
262,262
262,262
262,254
262,262
263,263
263,263
263,263
263,180
264,150
264,264
264,264
264,264
265,265
265,265
265,266
265,265
266,266
266,266
266,266
266,266
267,100
267,267
267,238
267,267
268,268
268,268
268,268
268,268
269,269
269,269
269,324
269,272
270,270
270,270
270,270
270,270
271,271
271,271
271,271
271,271
272,272
272,272
272,272
272,272
273,273
273,273
273,273
273,273
274,274
274,274
274,274
274,274
275,275
275,275
275,275
275,275
276,73
276,276
