name,id
Mukesh Chhabra,465
Hirokazu Koreeda,466
Noah Baumbach,467
Luca Guadagnino,468
Ken Loach,469
Taika Waititi,471
Matt Ross,472
John Carney,473
Dan Gilroy,475
J.J. Abrams,478
Michel Hazanavicius,482
Doug Liman,483
Michael Haneke,484
Jacques Audiard,486
Duncan Jones,487
Tomas Alfredson,488
Neill Blomkamp,489
Imtiaz Ali,491
Cristian Mungiu,493
Richard Schenkman,496
Tarsem Singh,498
Ang Lee,499
Christophe Barratier,502
Jon Favreau,503
Edgar Wright,504
Fatih Akin,505
Alfonso Cuarón,507
Pedro Almodóvar,509
Danis Tanovic,510
Shin'ichirô Watanabe,511
Fabián Bielinsky,513
Cameron Crowe,515
Yoshifumi Kondô,519
Lee Tamahori,520
Tony Scott,521
Yoshiaki Kawajiri,523
Bob Clark,532
John Landis,533
Bob Fosse,535
George A. Romero,536
Alan J. Pakula,537
Alejandro Jodorowsky,538
Sam Peckinpah,544
Anthony Harvey,546
John Frankenheimer,549
Michelangelo Antonioni,551
Alain Resnais,552
Cecil B. DeMille,553
Fred Zinnemann,556
Henry Koster,558
George Seaton,559
George Cukor,563
Sam Wood,566
Merian C. Cooper,567
Tod Browning,568
Darius Marder,572
Paolo Genovese,575
Theodore Melfi,576
Paul King,577
Abhishek Chaubey,578
Travis Knight,579
Kenneth Lonergan,581
Martin Zandvliet,582
Gareth Edwards,583
Greta Gerwig,586
Dorota Kobiela,587
Matthew Warchus,588
Paolo Sorrentino,590
Ritesh Batra,591
Shoojit Sircar,592
Don Hall,593
Richard Curtis,594
Gauri Shinde,595
Josh Cooley,597
Adam McKay,601
Tetsuya Nakashima,602
Jee-woon Kim,603
Jeong-beom Lee,606
F. Gary Gray,607
Hong-jin Na,609
Niels Arden Oplev,612
Aaron Sorkin,613
David O. Russell,615
Pierre Morel,616
Mark Herman,617
Joe Wright,621
Nicolas Winding Refn,622
Jaco Van Dormael,625
Jonathan Dayton,627
Yash Chopra,630
Anders Thomas Jensen,631
Roger Donaldson,633
Mikael Håfström,637
Nick Cassavetes,638
Lukas Moodysson,640
Sylvain Chomet,641
Kevin Reynolds,643
Boaz Yakin,645
Troy Duffy,649
Joe Johnston,651
Andrew Adamson,652
Takeshi Kitano,654
Andrew Niccol,655
George P. Cosmatos,660
David Mickey Evans,661
James Ivory,662
Andrew Davis,664
Robert De Niro,665
Kevin Altieri,666
John Woo,667
Jim Jarmusch,668
John Singleton,670
Penny Marshall,672
Sam Raimi,679
John Hughes,680
Richard Donner,682
Roland Joffé,685
Ivan Reitman,686
Philip Kaufman,687
Robert Benton,690
Terrence Malick,691
René Laloux,695
Mel Stuart,699
John Schlesinger,700
Terence Young,701
Arthur Penn,703
Robert Stevenson,705
Ken Annakin,706
Jack Clayton,708
James Whale,717
Leo McCarey,718
Francis Lee,722
David Leitch,723
Taylor Sheridan,724
Jordan Peele,725
Christopher McQuarrie,726
Hannes Holm,727
Jemaine Clement,728
James Simone,729
James Marsh,730
Matthew Vaughn,731
Josh Boone,732
Alfonso Gomez-Rejon,733
Abdellatif Kechiche,735
Abhishek Kapoor,736
Felix van Groeningen,737
Alexander Payne,740
Rich Moore,741
Mark Osborne,742
Christopher Miller,745
Cary Joji Fukunaga,748
Ben Affleck,754
Marc Webb,755
Shûsuke Kaneko,763
Shane Meadows,764
Alex Garland,765
Susanne Bier,766
Kevin Macdonald,767
Paul McGuigan,769
Christian Carion,770
Anton Corbijn,771
Nathan Greno,772
Paul Verhoeven,773
Paul Haggis,776
Stephen Chow,777
Brad Anderson,779
Sofia Coppola,781
Mike Newell,782
Peter Mullan,786
Wolfgang Becker,787
Jessie Nelson,789
Stephen Daldry,794
John Cameron Mitchell,795
Steven Soderbergh,796
Bob Gale,799
Trey Parker,800
Mike Judge,801
Todd Solondz,802
Antoine Fuqua,803
James L. Brooks,807
Francis Veber,809
Scott Hicks,811
Gregory Hoblit,812
Kenneth Branagh,813
Michael Radford,816
Kevin Smith,817
Robert Altman,818
Brian Henson,820
James Foley,824
Jon Avnet,826
George Sluizer,830
Bruce Robinson,831
Jean-Jacques Annaud,834
Nicholas Meyer,840
Ted Kotcheff,841
Robert Redford,842
Jim Abrahams,843
Joseph Sargent,848
Robert Clouse,851
John Boorman,852
Don Siegel,854
Brian G. Hutton,855
Gene Saks,856
Cy Endfield,861
Guy Hamilton,862
J. Lee Thompson,864
Georges Franju,867
